student_index,risk_score,risk_level,rec_rank,rule_id,risk_category,intervention_title,intervention_detail,responsible_party,urgency,trigger_feature,feature_value,shap_value,priority_score
1362,0.9917,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.5399342,4.6198
1362,0.9917,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,1.3211788,3.9635
1362,0.9917,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.39280048,1.1784
1362,0.9917,High,4,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,28.0,0.43057752,0.8612
1365,0.996,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.3976338,7.1929
1365,0.996,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.7915176,2.3746
1365,0.996,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.41718745,1.2516
1374,0.99,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.244168,6.7325
1374,0.99,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.375,0.6889771,2.0669
1374,0.99,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,9.0,0.45574275,1.3672
1374,0.99,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.4285714285714285,0.3913243,0.7826
1375,0.9614,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.0784873,3.2355
1375,0.9614,High,2,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.48597556,1.4579
1375,0.9614,High,3,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.43299788,0.866
1378,0.9826,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.0129366,6.0388
1378,0.9826,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.81704926,2.4511
1378,0.9826,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,11.0,0.42233297,1.267
1378,0.9826,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.1666666666666666,0.304342,0.6087
1379,0.974,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.3445345,4.0336
1379,0.974,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,1.0164186,3.0493
1379,0.974,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.44738704,1.3422
1379,0.974,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.27273786,0.5455
1381,0.9992,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,1.986141,5.9584
1381,0.9992,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.0510589,3.1532
1381,0.9992,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,15.0,0.74433655,2.233
1381,0.9992,High,4,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,32.0,0.46690673,0.9338
1385,0.993,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.364322,4.093
1385,0.993,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,8.0,1.0047449,3.0142
1385,0.993,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.44429457,1.3329
1385,0.993,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.4,0.31577185,0.6315
1386,0.9904,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.2787395,6.8362
1386,0.9904,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.8931709,2.6795
1386,0.9904,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.5119477,1.5358
1386,0.9904,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.34848857,1.0455
1388,0.937,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.335056,4.0052
1388,0.937,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.9850281,2.9551
1388,0.937,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.46519497,1.3956
1388,0.937,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.31422576,0.6285
1392,0.8061,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.9217904,2.7654
1392,0.8061,High,2,R11,Financial,Comprehensive financial support plan,"The student faces multiple financial stressors. Coordinate between financial aid, academic advising, and student services to create a holistic support plan. Explore part-time work-study opportunities on campus.",Student services,High,Financial_Risk_Score,1.0,0.48876357,1.4663
1392,0.8061,High,3,R10,Financial,Debt management referral,Refer the student to a financial counsellor to manage existing debt. Investigate eligibility for institutional debt relief programmes or government financial assistance.,Financial aid office,High,Debtor,1.0,0.46607238,1.3982
1392,0.8061,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.41732675,1.252
1404,0.9918,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.017987,6.054
1404,0.9918,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.8148333,2.4445
1404,0.9918,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.57279366,1.7184
1404,0.9918,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.32579094,0.9774
1404,0.9918,High,5,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,25.0,0.38229746,0.7646
1405,0.9623,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.2706611,3.812
1405,0.9623,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,11.0,0.91873616,2.7562
1405,0.9623,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.36650637,1.0995
1405,0.9623,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.27995124,0.5599
1408,0.9853,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.1666666666666666,0.98292863,2.9488
1408,0.9853,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,7.0,0.638441,1.9153
1408,0.9853,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),1.0,0.428766,1.2863
1410,0.9808,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.5324172,4.5973
1410,0.9808,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,0.9407557,2.8223
1410,0.9808,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.42782852,1.2835
1410,0.9808,High,4,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,58.0,0.43637413,0.8727
1410,0.9808,High,5,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.4020523,0.8041
1416,0.9988,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,1.7617451,5.2852
1416,0.9988,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.069772,3.2093
1416,0.9988,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,1.0221721,3.0665
1431,0.9567,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.1666666666666666,1.0193453,3.058
1431,0.9567,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,7.0,0.8043215,2.413
1431,0.9567,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),1.0,0.3879977,1.164
1435,0.9666,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.217968,6.6539
1435,0.9666,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.3333333333333333,0.97360253,2.9208
1435,0.9666,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),2.0,0.27121434,0.8136
1435,0.9666,High,4,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,26.0,0.38436097,0.7687
1443,0.9907,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.00001,6.0
1443,0.9907,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.0768732,3.2306
1443,0.9907,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,0.7874928,2.3625
1443,0.9907,High,4,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,26.0,0.5288537,1.0577
1443,0.9907,High,5,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.32637954,0.9791
1445,0.997,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.2189827,6.6569
1445,0.997,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.9837488,2.9512
1445,0.997,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.73108107,2.1932
1445,0.997,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.33834732,1.015
1446,0.986,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.7669673,8.3009
1446,0.986,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.7996328,2.3989
1446,0.986,High,3,R11,Financial,Comprehensive financial support plan,"The student faces multiple financial stressors. Coordinate between financial aid, academic advising, and student services to create a holistic support plan. Explore part-time work-study opportunities on campus.",Student services,High,Financial_Risk_Score,1.0,0.41412887,1.2424
1446,0.986,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.3817995,0.7636
1448,0.8919,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.5,1.0726919,3.2181
1448,0.8919,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,6.0,0.737857,2.2136
1448,0.8919,High,3,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.5,0.4660411,0.9321
1452,0.8344,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.9832504,2.9498
1452,0.8344,High,2,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.5087047,1.5261
1452,0.8344,High,3,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.37087345,0.7417
1455,0.9755,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.5272102,4.5816
1455,0.9755,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,1.1877753,3.5633
1455,0.9755,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.5636058,1.6908
1455,0.9755,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.23681861,0.4736
1459,0.9992,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.1642292,6.4927
1459,0.9992,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.9694107,2.9082
1459,0.9992,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.59352016,1.7806
1459,0.9992,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.38843203,0.7769
1463,0.6346,Medium,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.2,0.8384129,2.5152
1463,0.6346,Medium,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,7.0,0.6258847,1.8777
1463,0.6346,Medium,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),1.0,0.25277582,0.7583
1463,0.6346,Medium,4,R16,Engagement,Declining performance intervention,"The student's approval rate is worsening across semesters. Arrange a meeting to discuss barriers. Explore counselling, study skills training, or course load adjustment.",Counsellor,High,Approval_Rate_Trend,-0.2,0.2319385,0.6958
1463,0.6346,Medium,5,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.4,0.3468224,0.6936
1466,0.9858,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.3719761,4.1159
1466,0.9858,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,7.0,0.8675176,2.6026
1466,0.9858,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.34692472,1.0408
1473,0.9852,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.2590137,3.777
1473,0.9852,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,1.0360653,3.1082
1473,0.9852,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.44993097,1.3498
1476,0.9785,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.4,1.0950166,3.285
1476,0.9785,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,6.0,0.6014936,1.8045
1476,0.9785,High,3,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,33.0,0.35593075,0.7119
1478,0.9958,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.2542045,6.7626
1478,0.9958,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.89814246,2.6944
1478,0.9958,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.5836272,1.7509
1478,0.9958,High,4,R07,Academic,Performance decline alert,"The student's grades have dropped between semesters. Conduct a wellbeing and academic check-in. Identify any personal, financial, or health-related factors contributing to the decline.",Counsellor,High,Grade_Drop,14.5,0.42540506,1.2762
1478,0.9958,High,5,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.3333333333333333,0.3903243,0.7806
